symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-06 16:15:00+00:00,243.69,243.86,243.53,243.585,20577.0,220.0,243.770434
AAPL,2024-12-06 16:30:00+00:00,243.6,243.84,243.6,243.7,21206.0,222.0,243.716708
AAPL,2024-12-06 16:45:00+00:00,243.7,243.74,243.64,243.65,18908.0,197.0,243.689009
AAPL,2024-12-06 17:00:00+00:00,243.65,243.72,243.23,243.28,18645.0,240.0,243.433579
AAPL,2024-12-06 17:15:00+00:00,243.33,243.73,243.33,243.59,10287.0,163.0,243.575539
AAPL,2024-12-06 17:30:00+00:00,243.6,243.61,242.95,242.99,21756.0,294.0,243.360984
AAPL,2024-12-06 17:45:00+00:00,243.01,243.18,242.965,243.035,10332.0,153.0,243.060537
AAPL,2024-12-06 18:00:00+00:00,243.025,243.245,242.95,243.195,20152.0,273.0,243.099969
AAPL,2024-12-06 18:15:00+00:00,243.23,243.345,243.145,243.26,11384.0,162.0,243.273407
AAPL,2024-12-06 18:30:00+00:00,243.225,243.37,243.05,243.295,16067.0,206.0,243.229981
AAPL,2024-12-06 18:45:00+00:00,243.29,243.63,243.29,243.63,12554.0,235.0,243.521068
AAPL,2024-12-06 19:00:00+00:00,243.62,243.63,243.12,243.41,9554.0,175.0,243.395986
AAPL,2024-12-06 19:15:00+00:00,243.27,243.525,243.13,243.165,17901.0,306.0,243.354795
AAPL,2024-12-06 19:30:00+00:00,243.145,243.17,242.94,243.045,15649.0,294.0,243.066836
AAPL,2024-12-06 19:45:00+00:00,243.02,243.27,242.97,242.97,7519.0,114.0,243.121557
AAPL,2024-12-06 20:00:00+00:00,242.94,243.32,242.875,243.32,12033.0,179.0,243.039926
AAPL,2024-12-06 20:15:00+00:00,243.245,243.4,243.0,243.06,16655.0,264.0,243.207988
AAPL,2024-12-06 20:30:00+00:00,243.13,243.15,242.93,242.985,19820.0,320.0,243.03391
AAPL,2024-12-06 20:45:00+00:00,242.99,243.04,242.52,242.69,127751.0,1348.0,242.725374
AAPL,2024-12-09 14:30:00+00:00,241.865,243.25,241.8,243.25,66537.0,738.0,242.887969
AAPL,2024-12-09 14:45:00+00:00,243.255,244.14,243.25,243.99,49261.0,858.0,243.840923
